Opponent,Fittest,Average,memSize,nGens,gameLen,nGames
RandomAgent,CDDDDDCDCCC,CCCCDCCCCCC,3,100,30,10
CooperativeAgent,CDCCDDDCDDC,CDCCCDDCDCC,3,100,30,10
DefectiveAgent,DDCCCCDDDCD,CDCDCCDDCDC,3,100,30,10
TFTAgent,CDDDDCDCCCC,CCCDDCDDCCD,3,100,30,10
TFNTAgent,DCDCCDDCDDD,CCDDDDDCCCD,3,100,30,10
STFTAgent,CCDDCDCCDDD,CCDDDDCCDDD,3,100,30,10
PavlovAgent,CCDDCCCCDDD,CDDDDDDCDCD,3,100,30,10
GeneticAgent,DDDCDDCCCDD,DCDDDDCDDDD,3,100,30,10
RandomAgent,DDDDDDDDDDC,DDCCDDDCCDD,3,1000,64,10
CooperativeAgent,DDCCDDDDDDD,DDDDCCDCDCC,3,1000,64,10
DefectiveAgent,CCCCDDDDDDD,DCDDDDCDDCD,3,1000,64,10
TFTAgent,CDCCCDDCCCC,CDDDDCDCCDD,3,1000,64,10
TFNTAgent,DDDCCCDDCDC,CCCDDCDDCDD,3,1000,64,10
STFTAgent,CCCDCCDCCCC,DDDDCCCCDCD,3,1000,64,10
PavlovAgent,CCDCDDCDCCC,CCCDCCCDCCC,3,1000,64,10
GeneticAgent,DCCDCDDDDDD,CCCDCCDCCCC,3,1000,64,10
