Opponent,Fittest,Average,memSize,nGens,gameLen,nGames,search
RandomAgent,DDDDCCCDCCD,DDCCCCDCCCD,3,100,30,5,crossover
CooperativeAgent,DCDDDDDDDDD,CDCCCDCCDDC,3,100,30,5,crossover
DefectiveAgent,DCDDDCCDDDC,DCDDDCCDCDC,3,100,30,5,crossover
TFTAgent,CDCDCCDCCCD,CDCDDCDCCDD,3,100,30,5,crossover
TFNTAgent,DCCDCCCCCCC,CCDDCDCCCCC,3,100,30,5,crossover
STFTAgent,DCDDCCDDDCC,DCCDDCDDDCD,3,100,30,5,crossover
PavlovAgent,CDDDCCCCDDD,DCCDCCCCDDC,3,100,30,5,crossover
GeneticAgent,CDDDCDCDCCC,CDCCCDDDCDD,3,100,30,5,crossover
RandomAgent,DDCDDDCDCCC,DDCDCCCDCDC,3,100,30,5,random
CooperativeAgent,DDDCDCDCDCD,CDDDCDDCDCD,3,100,30,5,random
DefectiveAgent,DCCDDCDDDDD,DCCDDCDCDDD,3,100,30,5,random
TFTAgent,CCCCCCDDDDC,CCDDDDCCDDD,3,100,30,5,random
TFNTAgent,CCDCDCDDDDD,CDDDDCDDCCD,3,100,30,5,random
STFTAgent,CCCDCDDCDDC,CCDDDDDCCDC,3,100,30,5,random
PavlovAgent,CCCCDCCCCCC,CCCDDDCCDCD,3,100,30,5,random
GeneticAgent,CCCCCCDDCDC,CCCCDDDDCDC,3,100,30,5,random
RandomAgent,DDDDDDDDDDD,,3,,30,5,exhaustive
CooperativeAgent,DXXXXXXXDDD,,3,,30,5,exhaustive
DefectiveAgent,XXXXXXXDDDD,,3,,30,5,exhaustive
TFTAgent,CXXXXXXXCCC,,3,,30,5,exhaustive
TFNTAgent,CDDXCXXXCDD,,3,,30,5,exhaustive
STFTAgent,CXXXCXXXCCC,,3,,30,5,exhaustive
PavlovAgent,CXXXXXXXCCC,,3,,30,5,exhaustive
